receipt_id,timestamp,type,title,context,location,category,amount,source,tags
R001,2025-01-04 21:10,Music,Midnight City,M83,Mumbai,music,,Spotify,"night,city"
R002,2025-01-04 21:38,Place,Blue Tokai Bandra,Cafe,"Bandra, Mumbai",place,,,"night,coffee"
R003,2025-01-04 22:02,Photo,Rain on Carter Road,Phone Camera,"Carter Road, Mumbai",photo,,,"rain,night"
R004,2025-01-05 10:15,Purchase,Running Shoes,Nimbus Sports,Mumbai,purchase,3499,,"fitness,new_start"
R005,2025-01-05 22:30,Personal Note,Start running again,Personal Note,,note,,,"health,goals"
R006,2025-01-12 19:40,Search,Best sunset running routes,Google Search,,search,,,"running,sunset"
R007,2025-01-18 18:10,Event,Marine Drive 5K,Community Run,Mumbai,event,,,"running,community"
R008,2025-02-02 20:00,Music,Sunset Lover,Petit Biscuit,Mumbai,music,,,"sunset,chill"
R009,2025-02-02 20:24,Place,Marine Drive,Landmark,South Mumbai,place,,,"sunset,sea"
R010,2025-02-02 20:42,Photo,Orange horizon,Phone Camera,"Marine Drive, Mumbai",photo,,,"sunset,sea"
R011,2025-02-14 19:15,Event,Indie Film Night,Film Society,Mumbai,event,,,"film,night"
R012,2025-02-14 19:22,Movie,Before Sunrise,Richard Linklater,"Indie Film Night, Mumbai",movie,,,"film,night,travel"
R013,2025-02-14 22:05,Purchase,Paperback travel journal,Crossword,Mumbai,purchase,599,,"travel,journal"
R014,2025-03-03 23:50,Search,3 day Udaipur itinerary,Google Search,,search,,,"udaipur,travel"
R015,2025-03-04 00:12,Personal Note,I need a change of scenery.,Personal Note,,note,,,"travel,change"
R016,2025-03-15 07:30,Event,Train to Udaipur,IRCTC,Mumbai to Udaipur,event,,,"udaipur,trip"
R017,2025-03-15 13:10,Place,Lake Pichola,Landmark,Udaipur,place,,,"udaipur,lake"
R018,2025-03-15 18:30,Photo,Lake Pichola at dusk,Phone Camera,Udaipur,photo,,,"udaipur,dusk"
R019,2025-03-15 21:00,Music,Kasoor,Prateek Kuhad,Udaipur,music,,,"udaipur,reflection"
R020,2025-03-16 11:30,Purchase,Handmade notebook,Local Market,Udaipur,purchase,320,,"udaipur,travel"
R021,2025-03-16 20:15,Message,Send me that lake photo!,Aarav,Chat,message,,,"udaipur,photo"
R022,2025-03-17 09:20,Search,quiet cafes in Udaipur,Google Search,,search,,,"udaipur,cafe"
R023,2025-03-17 10:10,Place,Jheel's Ginger Coffee Bar,Cafe,Udaipur,place,,,"udaipur,cafe"
R024,2025-03-17 10:25,Photo,Notebook and coffee,Phone Camera,Udaipur,photo,,,"udaipur,cafe,writing"
R025,2025-04-06 23:05,Music,Holocene,Bon Iver,Mumbai,music,,,"reflection,night"
R026,2025-04-06 23:40,Personal Note,Things are finally slowing down.,Personal Note,,note,,,"reflection,calm"
R027,2025-04-20 17:00,Event,Cousin's engagement,Family,Mumbai,event,,,"family,celebration"
R028,2025-04-20 17:25,Photo,Family table,Phone Camera,Mumbai,photo,,,"family,celebration"
R029,2025-05-09 12:30,Search,best budget mirrorless camera,Google Search,,search,,,"camera,photography"
R030,2025-05-09 13:05,Purchase,Mirrorless Camera,Pixel Pro Store,Mumbai,purchase,58900,,"camera,photography"
R031,2025-05-10 06:15,Place,Sanjay Gandhi National Park,Park,Mumbai,place,,,"photography,nature"
R032,2025-05-10 06:45,Photo,Morning forest trail,Mirrorless Camera,Sanjay Gandhi National Park,photo,,,"photography,nature"
R033,2025-05-10 07:20,Music,Bloom,The Paper Kites,Mumbai,music,,,"morning,nature"
R034,2025-06-01 20:00,Movie,The Secret Life of Walter Mitty,Ben Stiller,Home,movie,,,"travel,adventure"
R035,2025-06-01 22:10,Search,solo weekend road trips,Google Search,,search,,,"travel,adventure"
R036,2025-06-07 06:40,Event,Weekend road trip,Personal,Mumbai → Lonavala,event,,,"roadtrip,lonavala"
R037,2025-06-07 09:10,Place,Pawna Lake,Lake,Lonavala,place,,,"lonavala,lake"
R038,2025-06-07 09:45,Photo,Pawna morning,Mirrorless Camera,"Pawna Lake, Lonavala",photo,,,"lonavala,nature"
R039,2025-06-07 10:05,Purchase,Camping coffee kit,Outdoor Store,Lonavala,purchase,1290,,"camping,coffee"
R040,2025-06-07 22:30,Personal Note,Maybe I should travel more often.,Personal Note,,note,,,"travel,reflection"
R041,2025-07-11 18:00,Message,Road trip this weekend?,Aarav,Chat,message,,,"travel,friend"
R042,2025-07-12 07:00,Event,Monsoon photo walk,Photography Club,Mumbai,event,,,"photography,monsoon"
R043,2025-07-12 07:30,Place,Sion Fort,Heritage,Mumbai,place,,,"photography,history"
R044,2025-07-12 08:00,Photo,Monsoon walls,Mirrorless Camera,"Sion Fort, Mumbai",photo,,,"photography,monsoon"
R045,2025-08-18 21:15,Search,beginner film photography,Google Search,,search,,,"film,photography"
R046,2025-08-19 11:10,Purchase,35mm Film Camera,Vintage Camera Shop,Mumbai,purchase,8200,,"film,photography"
R047,2025-08-24 16:20,Event,Film photography meetup,Photo Club,Mumbai,event,,,"film,community"
R048,2025-08-24 17:00,Place,Kala Ghoda,Arts District,Mumbai,place,,,"film,arts"
R049,2025-08-24 17:25,Photo,Kala Ghoda shadows,35mm Film Camera,"Kala Ghoda, Mumbai",photo,,,"film,arts"
R050,2025-09-03 00:05,Music,Space Song,Beach House,Mumbai,music,,,"late_night,reflection"
R051,2025-09-03 00:25,Personal Note,Keep the quiet moments.,Personal Note,,note,,,"reflection,quiet"
R052,2025-09-18 19:45,Movie,Perfect Days,Wim Wenders,Home,movie,,,"slow_life,reflection"
R053,2025-09-18 21:10,Search,how to build a daily photo journal,Google Search,,search,,,"photo,journal"
R054,2025-09-19 08:00,Event,30-day photo journal,Personal Challenge,Mumbai,event,,,"photo,journal,challenge"
R055,2025-09-19 08:15,Personal Note,One photo a day.,Personal Note,,note,,,"photo,journal"
