connection_id,from_receipt_id,to_receipt_id,connection_type,strength,reason
C001,R001,R002,time_location,0.91,Song played shortly before the late-night cafe visit
C002,R002,R003,location_time,0.96,Cafe visit and rain photo occurred in the same evening nearby
C003,R006,R007,search_event,0.94,Search for running routes preceded the 5K event
C004,R008,R009,time_theme,0.93,Sunset-themed song played during Marine Drive visit
C005,R009,R010,location_time,0.99,Photo captured at the same place as the visit
C006,R011,R012,event_content,0.98,Movie was watched at the film-night event
C007,R014,R016,search_event,0.95,Udaipur itinerary search preceded the trip
C008,R016,R017,travel_sequence,0.97,Train arrival connects directly to Lake Pichola visit
C009,R017,R018,location_time,0.99,Lake visit and dusk photo share location
C010,R018,R019,place_music,0.9,Udaipur dusk photo and reflective song share context
C011,R022,R023,search_place,0.97,Cafe search led to a Udaipur cafe visit
C012,R023,R024,location_time,0.99,Cafe visit and notebook photo share location
C013,R029,R030,search_purchase,0.98,Camera research was followed by camera purchase
C014,R030,R032,purchase_behavior,0.93,Camera purchase precedes a major photography phase
C015,R031,R032,location_time,0.99,National Park visit and forest photo share location
C016,R032,R033,photo_music,0.88,Morning nature photo and morning indie listening share context
C017,R034,R035,movie_search,0.89,Adventure movie precedes road-trip research
C018,R035,R036,search_event,0.96,Road-trip search precedes actual road trip
C019,R036,R037,travel_sequence,0.98,Road trip connects to Pawna Lake
C020,R037,R038,location_time,0.99,Lake visit and photo share location
C021,R038,R039,place_purchase,0.86,Camping photo and camping coffee purchase share trip
C022,R041,R042,message_event,0.89,Friend's message precedes photography activity
C023,R045,R046,search_purchase,0.98,Film-camera search precedes film-camera purchase
C024,R046,R047,purchase_event,0.92,Film camera purchase precedes photography meetup
C025,R047,R048,event_place,0.95,Meetup takes place around Kala Ghoda
C026,R048,R049,place_photo,0.99,Kala Ghoda visit connects to street photo
C027,R052,R053,movie_search,0.87,Slow-life movie precedes photo-journal search
C028,R053,R054,search_event,0.96,Photo-journal search precedes 30-day challenge
C029,R054,R055,event_note,0.97,Challenge leads to personal note
